Game;Test Name;Duration (ms);Passed;Failure Message;Type
"Adugo_test_results";"lineLessOrEqualThanBoardSide";1117;false;"Line concept is not present";Static
"Adugo_test_results";"eachPieceReferenceNotDuplicated";75;true;;Static
"Adugo_test_results";"pieceDeclaredAsEach";238;true;;Static
"Adugo_test_results";"pieceDeclaredAsShared";41;false;"The game does not have any piece declared as Shared";Static
"Adugo_test_results";"pieceDeclaredAsNeutral";32;true;;Static
"Adugo_test_results";"playerNotDeclared";35;true;;Static
"Adugo_test_results";"equalNumberOfPiecesOnTheBoard";174;true;;Static
"Adugo_test_results";"sizeOfTrack";35;false;"Track concept is not present";Static
"Asalto_test_results";"lineLessOrEqualThanBoardSide";88;false;"Line concept is not present";Static
"Asalto_test_results";"eachPieceReferenceNotDuplicated";59;true;;Static
"Asalto_test_results";"pieceDeclaredAsEach";109;true;;Static
"Asalto_test_results";"pieceDeclaredAsShared";49;false;"The game does not have any piece declared as Shared";Static
"Asalto_test_results";"pieceDeclaredAsNeutral";50;true;;Static
"Asalto_test_results";"playerNotDeclared";55;true;;Static
"Asalto_test_results";"equalNumberOfPiecesOnTheBoard";148;true;;Static
"Asalto_test_results";"sizeOfTrack";48;false;"Track concept is not present";Static
"Bagh Bandi_test_results";"lineLessOrEqualThanBoardSide";73;false;"Line concept is not present";Static
"Bagh Bandi_test_results";"eachPieceReferenceNotDuplicated";53;false;"Ludeme Each for a Piece requires that the reference to Goat2 is not duplicated. Found 4 occurrences.";Static
"Bagh Bandi_test_results";"pieceDeclaredAsEach";110;true;;Static
"Bagh Bandi_test_results";"pieceDeclaredAsShared";54;false;"The game does not have any piece declared as Shared";Static
"Bagh Bandi_test_results";"pieceDeclaredAsNeutral";56;true;;Static
"Bagh Bandi_test_results";"playerNotDeclared";64;true;;Static
"Bagh Bandi_test_results";"equalNumberOfPiecesOnTheBoard";160;true;;Static
"Bagh Bandi_test_results";"sizeOfTrack";66;false;"Track concept is not present";Static
"Bagh Batti_test_results";"lineLessOrEqualThanBoardSide";46;false;"Line concept is not present";Static
"Bagh Batti_test_results";"eachPieceReferenceNotDuplicated";45;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsEach";82;true;;Static
"Bagh Batti_test_results";"pieceDeclaredAsShared";42;false;"The game does not have any piece declared as Shared";Static
"Bagh Batti_test_results";"pieceDeclaredAsNeutral";44;true;;Static
"Bagh Batti_test_results";"playerNotDeclared";43;true;;Static
"Bagh Batti_test_results";"equalNumberOfPiecesOnTheBoard";119;true;;Static
"Bagh Batti_test_results";"sizeOfTrack";37;false;"Track concept is not present";Static
"Bagh Guti_test_results";"lineLessOrEqualThanBoardSide";41;false;"Line concept is not present";Static
"Bagh Guti_test_results";"eachPieceReferenceNotDuplicated";49;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsEach";86;true;;Static
"Bagh Guti_test_results";"pieceDeclaredAsShared";41;false;"The game does not have any piece declared as Shared";Static
"Bagh Guti_test_results";"pieceDeclaredAsNeutral";36;true;;Static
"Bagh Guti_test_results";"playerNotDeclared";35;true;;Static
"Bagh Guti_test_results";"equalNumberOfPiecesOnTheBoard";109;true;;Static
"Bagh Guti_test_results";"sizeOfTrack";43;false;"Track concept is not present";Static
"Bagha Guti_test_results";"lineLessOrEqualThanBoardSide";31;false;"Line concept is not present";Static
"Bagha Guti_test_results";"eachPieceReferenceNotDuplicated";25;true;;Static
"Bagha Guti_test_results";"pieceDeclaredAsEach";62;true;;Static
"Bagha Guti_test_results";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static
"Bagha Guti_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Bagha Guti_test_results";"playerNotDeclared";28;true;;Static
"Bagha Guti_test_results";"equalNumberOfPiecesOnTheBoard";111;true;;Static
"Bagha Guti_test_results";"sizeOfTrack";25;false;"Track concept is not present";Static
"Baghchal_test_results";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static
"Baghchal_test_results";"eachPieceReferenceNotDuplicated";20;true;;Static
"Baghchal_test_results";"pieceDeclaredAsEach";63;true;;Static
"Baghchal_test_results";"pieceDeclaredAsShared";24;false;"The game does not have any piece declared as Shared";Static
"Baghchal_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Baghchal_test_results";"playerNotDeclared";22;true;;Static
"Baghchal_test_results";"equalNumberOfPiecesOnTheBoard";116;true;;Static
"Baghchal_test_results";"sizeOfTrack";23;false;"Track concept is not present";Static
"Bam Blang Beh Khla_test_results";"lineLessOrEqualThanBoardSide";23;false;"Line concept is not present";Static
"Bam Blang Beh Khla_test_results";"eachPieceReferenceNotDuplicated";20;true;;Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsEach";58;true;;Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsShared";12;false;"The game does not have any piece declared as Shared";Static
"Bam Blang Beh Khla_test_results";"pieceDeclaredAsNeutral";14;true;;Static
"Bam Blang Beh Khla_test_results";"playerNotDeclared";12;true;;Static
"Bam Blang Beh Khla_test_results";"equalNumberOfPiecesOnTheBoard";82;true;;Static
"Bam Blang Beh Khla_test_results";"sizeOfTrack";13;false;"Track concept is not present";Static
"Bouge Shodra_test_results";"lineLessOrEqualThanBoardSide";23;false;"Line concept is not present";Static
"Bouge Shodra_test_results";"eachPieceReferenceNotDuplicated";26;false;"Ludeme Each for a Piece requires that the reference to Marker1 is not duplicated. Found 2 occurrences.";Static
"Bouge Shodra_test_results";"pieceDeclaredAsEach";85;true;;Static
"Bouge Shodra_test_results";"pieceDeclaredAsShared";23;false;"The game does not have any piece declared as Shared";Static
"Bouge Shodra_test_results";"pieceDeclaredAsNeutral";23;true;;Static
"Bouge Shodra_test_results";"playerNotDeclared";25;true;;Static
"Bouge Shodra_test_results";"equalNumberOfPiecesOnTheBoard";112;true;;Static
