Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;7889;36,68%;83
Adugo;lineLessOrEqualThanBoardSide;1095;false;Line concept is not present;Static;;;;;;
Adugo;pieceDeclaredAsShared;58;false;The game does not have any piece declared as Shared;Static;;;;;;
Adugo;pieceDeclaredAsNeutral;59;false;The game does not have any piece declared as Neutral;Static;;;;;;
Adugo;pieceDeclaredAsEach;47;false;The game does not have any piece declared as Each;Static;;;;;;
Adugo;equalNumberOfPiecesOnTheBoard;43;true;;Static;;;;;;
Adugo;noUndeclaredPlayerReference;36;true;;Static;;;;;;
Adugo;sizeOfTrack;40;false;Track concept is not present;Static;;;;;;
Asalto;lineLessOrEqualThanBoardSide;104;false;Line concept is not present;Static;;;;;;
Asalto;pieceDeclaredAsShared;56;false;The game does not have any piece declared as Shared;Static;;;;;;
Asalto;pieceDeclaredAsNeutral;53;false;The game does not have any piece declared as Neutral;Static;;;;;;
Asalto;pieceDeclaredAsEach;57;false;The game does not have any piece declared as Each;Static;;;;;;
Asalto;equalNumberOfPiecesOnTheBoard;62;true;;Static;;;;;;
Asalto;noUndeclaredPlayerReference;47;true;;Static;;;;;;
Asalto;sizeOfTrack;51;false;Track concept is not present;Static;;;;;;
Bagh Bandi;lineLessOrEqualThanBoardSide;90;false;Line concept is not present;Static;;;;;;
Bagh Bandi;pieceDeclaredAsShared;64;false;The game does not have any piece declared as Shared;Static;;;;;;
Bagh Bandi;pieceDeclaredAsNeutral;67;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bagh Bandi;pieceDeclaredAsEach;59;false;The game does not have any piece declared as Each;Static;;;;;;
Bagh Bandi;equalNumberOfPiecesOnTheBoard;60;true;;Static;;;;;;
Bagh Bandi;noUndeclaredPlayerReference;55;true;;Static;;;;;;
Bagh Bandi;sizeOfTrack;54;false;Track concept is not present;Static;;;;;;
Bagh Batti;lineLessOrEqualThanBoardSide;46;false;Line concept is not present;Static;;;;;;
Bagh Batti;pieceDeclaredAsShared;47;false;The game does not have any piece declared as Shared;Static;;;;;;
Bagh Batti;pieceDeclaredAsNeutral;46;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bagh Batti;pieceDeclaredAsEach;62;false;The game does not have any piece declared as Each;Static;;;;;;
Bagh Batti;equalNumberOfPiecesOnTheBoard;47;true;;Static;;;;;;
Bagh Batti;noUndeclaredPlayerReference;46;true;;Static;;;;;;
Bagh Batti;sizeOfTrack;46;false;Track concept is not present;Static;;;;;;
Bagh Guti;lineLessOrEqualThanBoardSide;46;false;Line concept is not present;Static;;;;;;
Bagh Guti;pieceDeclaredAsShared;38;false;The game does not have any piece declared as Shared;Static;;;;;;
Bagh Guti;pieceDeclaredAsNeutral;44;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bagh Guti;pieceDeclaredAsEach;45;false;The game does not have any piece declared as Each;Static;;;;;;
Bagh Guti;equalNumberOfPiecesOnTheBoard;41;true;;Static;;;;;;
Bagh Guti;noUndeclaredPlayerReference;42;true;;Static;;;;;;
Bagh Guti;sizeOfTrack;38;false;Track concept is not present;Static;;;;;;
Bagha Guti;lineLessOrEqualThanBoardSide;35;false;Line concept is not present;Static;;;;;;
Bagha Guti;pieceDeclaredAsShared;24;false;The game does not have any piece declared as Shared;Static;;;;;;
Bagha Guti;pieceDeclaredAsNeutral;27;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bagha Guti;pieceDeclaredAsEach;22;false;The game does not have any piece declared as Each;Static;;;;;;
Bagha Guti;equalNumberOfPiecesOnTheBoard;25;true;;Static;;;;;;
Bagha Guti;noUndeclaredPlayerReference;25;true;;Static;;;;;;
Bagha Guti;sizeOfTrack;25;false;Track concept is not present;Static;;;;;;
Baghchal;lineLessOrEqualThanBoardSide;27;false;Line concept is not present;Static;;;;;;
Baghchal;pieceDeclaredAsShared;23;false;The game does not have any piece declared as Shared;Static;;;;;;
Baghchal;pieceDeclaredAsNeutral;22;false;The game does not have any piece declared as Neutral;Static;;;;;;
Baghchal;pieceDeclaredAsEach;23;false;The game does not have any piece declared as Each;Static;;;;;;
Baghchal;equalNumberOfPiecesOnTheBoard;25;true;;Static;;;;;;
Baghchal;noUndeclaredPlayerReference;22;true;;Static;;;;;;
Baghchal;sizeOfTrack;20;false;Track concept is not present;Static;;;;;;
Bam Blang Beh Khla;lineLessOrEqualThanBoardSide;19;false;Line concept is not present;Static;;;;;;
Bam Blang Beh Khla;pieceDeclaredAsShared;16;false;The game does not have any piece declared as Shared;Static;;;;;;
Bam Blang Beh Khla;pieceDeclaredAsNeutral;15;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bam Blang Beh Khla;pieceDeclaredAsEach;14;false;The game does not have any piece declared as Each;Static;;;;;;
Bam Blang Beh Khla;equalNumberOfPiecesOnTheBoard;15;true;;Static;;;;;;
Bam Blang Beh Khla;noUndeclaredPlayerReference;15;true;;Static;;;;;;
Bam Blang Beh Khla;sizeOfTrack;14;false;Track concept is not present;Static;;;;;;
Bouge Shodra;lineLessOrEqualThanBoardSide;30;false;Line concept is not present;Static;;;;;;
Bouge Shodra;pieceDeclaredAsShared;27;false;The game does not have any piece declared as Shared;Static;;;;;;
Bouge Shodra;pieceDeclaredAsNeutral;30;false;The game does not have any piece declared as Neutral;Static;;;;;;
Bouge Shodra;pieceDeclaredAsEach;26;false;The game does not have any piece declared as Each;Static;;;;;;
Bouge Shodra;equalNumberOfPiecesOnTheBoard;28;true;;Static;;;;;;
Bouge Shodra;noUndeclaredPlayerReference;28;true;;Static;;;;;;
Bouge Shodra;sizeOfTrack;31;false;Track concept is not present;Static;;;;;;
Cercar La Liebre;lineLessOrEqualThanBoardSide;38;false;Line concept is not present;Static;;;;;;
Cercar La Liebre;pieceDeclaredAsShared;25;false;The game does not have any piece declared as Shared;Static;;;;;;
Cercar La Liebre;pieceDeclaredAsNeutral;24;false;The game does not have any piece declared as Neutral;Static;;;;;;
Cercar La Liebre;pieceDeclaredAsEach;23;false;The game does not have any piece declared as Each;Static;;;;;;
Cercar La Liebre;equalNumberOfPiecesOnTheBoard;22;true;;Static;;;;;;
Cercar La Liebre;noUndeclaredPlayerReference;24;true;;Static;;;;;;
Cercar La Liebre;sizeOfTrack;23;false;Track concept is not present;Static;;;;;;
Coyote;lineLessOrEqualThanBoardSide;20;false;Line concept is not present;Static;;;;;;
Coyote;pieceDeclaredAsShared;18;false;The game does not have any piece declared as Shared;Static;;;;;;
Coyote;pieceDeclaredAsNeutral;21;false;The game does not have any piece declared as Neutral;Static;;;;;;
Coyote;pieceDeclaredAsEach;18;false;The game does not have any piece declared as Each;Static;;;;;;
Coyote;equalNumberOfPiecesOnTheBoard;21;true;;Static;;;;;;
Coyote;noUndeclaredPlayerReference;20;true;;Static;;;;;;
Coyote;sizeOfTrack;22;false;Track concept is not present;Static;;;;;;
Demala Diviyan Keliya;lineLessOrEqualThanBoardSide;23;false;Line concept is not present;Static;;;;;;
Demala Diviyan Keliya;pieceDeclaredAsShared;23;false;The game does not have any piece declared as Shared;Static;;;;;;
Demala Diviyan Keliya;pieceDeclaredAsNeutral;22;false;The game does not have any piece declared as Neutral;Static;;;;;;
Demala Diviyan Keliya;pieceDeclaredAsEach;23;false;The game does not have any piece declared as Each;Static;;;;;;
Demala Diviyan Keliya;equalNumberOfPiecesOnTheBoard;21;true;;Static;;;;;;
Demala Diviyan Keliya;noUndeclaredPlayerReference;22;true;;Static;;;;;;
Demala Diviyan Keliya;sizeOfTrack;19;false;Track concept is not present;Static;;;;;;
Diviyan Keliya;lineLessOrEqualThanBoardSide;33;false;Line concept is not present;Static;;;;;;
Diviyan Keliya;pieceDeclaredAsShared;29;false;The game does not have any piece declared as Shared;Static;;;;;;
Diviyan Keliya;pieceDeclaredAsNeutral;30;false;The game does not have any piece declared as Neutral;Static;;;;;;
Diviyan Keliya;pieceDeclaredAsEach;29;false;The game does not have any piece declared as Each;Static;;;;;;
Diviyan Keliya;equalNumberOfPiecesOnTheBoard;27;true;;Static;;;;;;
Diviyan Keliya;noUndeclaredPlayerReference;28;true;;Static;;;;;;
Diviyan Keliya;sizeOfTrack;27;false;Track concept is not present;Static;;;;;;
El Cazador;lineLessOrEqualThanBoardSide;21;false;Line concept is not present;Static;;;;;;
El Cazador;pieceDeclaredAsShared;20;false;The game does not have any piece declared as Shared;Static;;;;;;
El Cazador;pieceDeclaredAsNeutral;22;false;The game does not have any piece declared as Neutral;Static;;;;;;
El Cazador;pieceDeclaredAsEach;20;false;The game does not have any piece declared as Each;Static;;;;;;
El Cazador;equalNumberOfPiecesOnTheBoard;22;true;;Static;;;;;;
El Cazador;noUndeclaredPlayerReference;21;true;;Static;;;;;;
El Cazador;sizeOfTrack;32;false;Track concept is not present;Static;;;;;;
El Perro;lineLessOrEqualThanBoardSide;41;false;Line concept is not present;Static;;;;;;
El Perro;pieceDeclaredAsShared;40;false;The game does not have any piece declared as Shared;Static;;;;;;
El Perro;pieceDeclaredAsNeutral;39;false;The game does not have any piece declared as Neutral;Static;;;;;;
El Perro;pieceDeclaredAsEach;41;false;The game does not have any piece declared as Each;Static;;;;;;
El Perro;equalNumberOfPiecesOnTheBoard;37;true;;Static;;;;;;
El Perro;noUndeclaredPlayerReference;37;true;;Static;;;;;;
El Perro;sizeOfTrack;36;false;Track concept is not present;Static;;;;;;
El Zorro;lineLessOrEqualThanBoardSide;26;false;Line concept is not present;Static;;;;;;
El Zorro;pieceDeclaredAsShared;25;false;The game does not have any piece declared as Shared;Static;;;;;;
El Zorro;pieceDeclaredAsNeutral;26;false;The game does not have any piece declared as Neutral;Static;;;;;;
El Zorro;pieceDeclaredAsEach;21;false;The game does not have any piece declared as Each;Static;;;;;;
El Zorro;equalNumberOfPiecesOnTheBoard;22;true;;Static;;;;;;
El Zorro;noUndeclaredPlayerReference;21;true;;Static;;;;;;
El Zorro;sizeOfTrack;25;false;Track concept is not present;Static;;;;;;
Fox and Geese;lineLessOrEqualThanBoardSide;29;false;Line concept is not present;Static;;;;;;
Fox and Geese;pieceDeclaredAsShared;24;false;The game does not have any piece declared as Shared;Static;;;;;;
Fox and Geese;pieceDeclaredAsNeutral;21;false;The game does not have any piece declared as Neutral;Static;;;;;;
Fox and Geese;pieceDeclaredAsEach;20;false;The game does not have any piece declared as Each;Static;;;;;;
Fox and Geese;equalNumberOfPiecesOnTheBoard;20;true;;Static;;;;;;
Fox and Geese;noUndeclaredPlayerReference;28;true;;Static;;;;;;
Fox and Geese;sizeOfTrack;22;false;Track concept is not present;Static;;;;;;
Gala (Buginese);lineLessOrEqualThanBoardSide;43;false;Line concept is not present;Static;;;;;;
Gala (Buginese);pieceDeclaredAsShared;30;false;The game does not have any piece declared as Shared;Static;;;;;;
Gala (Buginese);pieceDeclaredAsNeutral;28;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gala (Buginese);pieceDeclaredAsEach;25;true;;Static;;;;;;
Gala (Buginese);equalNumberOfPiecesOnTheBoard;27;true;;Static;;;;;;
Gala (Buginese);noUndeclaredPlayerReference;26;true;;Static;;;;;;
Gala (Buginese);sizeOfTrack;28;false;Track concept is not present;Static;;;;;;
Gala;lineLessOrEqualThanBoardSide;20;false;Line concept is not present;Static;;;;;;
Gala;pieceDeclaredAsShared;32;false;The game does not have any piece declared as Shared;Static;;;;;;
Gala;pieceDeclaredAsNeutral;20;false;The game does not have any piece declared as Neutral;Static;;;;;;
Gala;pieceDeclaredAsEach;19;true;;Static;;;;;;
Gala;equalNumberOfPiecesOnTheBoard;21;false;Players do not have the same number of pieces;Static;;;;;;
Gala;noUndeclaredPlayerReference;19;true;;Static;;;;;;
Gala;sizeOfTrack;16;false;Track concept is not present;Static;;;;;;
Gasetavl (Gedved);lineLessOrEqualThanBoardSide;28;false;Line concept is not present;Static;;;;;;
