Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;608;37,01%;41
"Adugo";"lineLessOrEqualThanBoardSide";1585;false;"Line concept is not present";Static;;;;;;
"Adugo";"pieceDeclaredAsEach";310;false;"The game does not have any piece declared as Each";Static;;;;;;
"Adugo";"pieceDeclaredAsNeutral";63;true;;Static;;;;;;
"Adugo";"pieceDeclaredAsShared";49;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Adugo";"eachPieceReferenceNotDuplicated";42;false;"The game does not have any piece declared as Each";Static;;;;;;
"Adugo";"AllPlayerDeclared";44;true;;Static;;;;;;
"Adugo";"equalNumberOfPiecesOnTheBoard";40;true;;Static;;;;;;
"Adugo";"sizeOfTrack";49;false;"Track concept is not present";Static;;;;;;
"Asalto";"lineLessOrEqualThanBoardSide";111;false;"Line concept is not present";Static;;;;;;
"Asalto";"pieceDeclaredAsEach";169;false;"The game does not have any piece declared as Each";Static;;;;;;
"Asalto";"pieceDeclaredAsNeutral";70;true;;Static;;;;;;
"Asalto";"pieceDeclaredAsShared";65;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Asalto";"eachPieceReferenceNotDuplicated";90;false;"The game does not have any piece declared as Each";Static;;;;;;
"Asalto";"AllPlayerDeclared";68;true;;Static;;;;;;
"Asalto";"equalNumberOfPiecesOnTheBoard";63;true;;Static;;;;;;
"Asalto";"sizeOfTrack";71;false;"Track concept is not present";Static;;;;;;
"Bagh Bandi";"lineLessOrEqualThanBoardSide";117;false;"Line concept is not present";Static;;;;;;
"Bagh Bandi";"pieceDeclaredAsEach";145;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bagh Bandi";"pieceDeclaredAsNeutral";71;true;;Static;;;;;;
"Bagh Bandi";"pieceDeclaredAsShared";81;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Bagh Bandi";"eachPieceReferenceNotDuplicated";70;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bagh Bandi";"AllPlayerDeclared";71;true;;Static;;;;;;
