Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;1296;46,37%;67
"20 Squares";"lineLessOrEqualThanBoardSide";1783;false;"Line concept is not present";Static;;;;;;
"20 Squares";"eachPieceReferenceNotDuplicated";103;false;"The game does not have any piece declared as Each";Static;;;;;;
"20 Squares";"pieceDeclaredAsEach";299;true;;Static;;;;;;
"20 Squares";"pieceDeclaredAsShared";62;false;"The game does not have any piece declared as Shared";Static;;;;;;
"20 Squares";"pieceDeclaredAsNeutral";61;true;;Static;;;;;;
"20 Squares";"AllPlayerDeclared";58;true;;Static;;;;;;
"20 Squares";"equalNumberOfPiecesOnTheBoard";80;true;;Static;;;;;;
"20 Squares";"sizeOfTrack";49;false;"The owner 0 does not have a track";Static;;;;;;
"58 Holes";"lineLessOrEqualThanBoardSide";145;false;"Line concept is not present";Static;;;;;;
"58 Holes";"eachPieceReferenceNotDuplicated";101;false;"The game does not have any piece declared as Each";Static;;;;;;
"58 Holes";"pieceDeclaredAsEach";161;true;;Static;;;;;;
"58 Holes";"pieceDeclaredAsShared";76;false;"The game does not have any piece declared as Shared";Static;;;;;;
"58 Holes";"pieceDeclaredAsNeutral";82;true;;Static;;;;;;
"58 Holes";"AllPlayerDeclared";76;true;;Static;;;;;;
"58 Holes";"equalNumberOfPiecesOnTheBoard";71;true;;Static;;;;;;
"58 Holes";"sizeOfTrack";70;false;"The owner 0 does not have a track";Static;;;;;;
"Ashta-kashte";"lineLessOrEqualThanBoardSide";79;false;"Line concept is not present";Static;;;;;;
"Ashta-kashte";"eachPieceReferenceNotDuplicated";59;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ashta-kashte";"pieceDeclaredAsEach";160;true;;Static;;;;;;
"Ashta-kashte";"pieceDeclaredAsShared";55;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Ashta-kashte";"pieceDeclaredAsNeutral";54;true;;Static;;;;;;
"Ashta-kashte";"AllPlayerDeclared";59;false;"P3 is not declared";Static;;;;;;
"Ashta-kashte";"equalNumberOfPiecesOnTheBoard";64;true;;Static;;;;;;
"Ashta-kashte";"sizeOfTrack";59;false;"The owner 0 does not have a track";Static;;;;;;
"Ashtapada";"lineLessOrEqualThanBoardSide";69;false;"Line concept is not present";Static;;;;;;
"Ashtapada";"eachPieceReferenceNotDuplicated";55;false;"The game does not have any piece declared as Each";Static;;;;;;
"Ashtapada";"pieceDeclaredAsEach";130;true;;Static;;;;;;
"Ashtapada";"pieceDeclaredAsShared";62;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Ashtapada";"pieceDeclaredAsNeutral";49;true;;Static;;;;;;
"Ashtapada";"AllPlayerDeclared";47;true;;Static;;;;;;
"Ashtapada";"equalNumberOfPiecesOnTheBoard";55;true;;Static;;;;;;
"Ashtapada";"sizeOfTrack";52;false;"The owner 0 does not have a track";Static;;;;;;
"Asi Keliya";"lineLessOrEqualThanBoardSide";127;false;"Line concept is not present";Static;;;;;;
"Asi Keliya";"eachPieceReferenceNotDuplicated";89;false;"The game does not have any piece declared as Each";Static;;;;;;
"Asi Keliya";"pieceDeclaredAsEach";131;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Asi Keliya";"pieceDeclaredAsShared";69;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Asi Keliya";"pieceDeclaredAsNeutral";88;true;;Static;;;;;;
"Asi Keliya";"AllPlayerDeclared";78;true;;Static;;;;;;
"Asi Keliya";"equalNumberOfPiecesOnTheBoard";79;true;;Static;;;;;;
"Asi Keliya";"sizeOfTrack";67;false;"The owner 0 does not have a track";Static;;;;;;
"Backgammon";"lineLessOrEqualThanBoardSide";68;false;"Line concept is not present";Static;;;;;;
"Backgammon";"eachPieceReferenceNotDuplicated";64;false;"The game does not have any piece declared as Each";Static;;;;;;
"Backgammon";"pieceDeclaredAsEach";95;true;;Static;;;;;;
"Backgammon";"pieceDeclaredAsShared";78;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Backgammon";"pieceDeclaredAsNeutral";52;true;;Static;;;;;;
"Backgammon";"AllPlayerDeclared";51;true;;Static;;;;;;
"Backgammon";"equalNumberOfPiecesOnTheBoard";72;true;;Static;;;;;;
"Backgammon";"sizeOfTrack";57;false;"The owner 0 does not have a track";Static;;;;;;
"Baralie";"lineLessOrEqualThanBoardSide";33;false;"Line concept is not present";Static;;;;;;
"Baralie";"eachPieceReferenceNotDuplicated";35;false;"The game does not have any piece declared as Each";Static;;;;;;
"Baralie";"pieceDeclaredAsEach";106;true;;Static;;;;;;
"Baralie";"pieceDeclaredAsShared";29;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Baralie";"pieceDeclaredAsNeutral";27;true;;Static;;;;;;
"Baralie";"AllPlayerDeclared";27;true;;Static;;;;;;
"Baralie";"equalNumberOfPiecesOnTheBoard";30;true;;Static;;;;;;
"Baralie";"sizeOfTrack";26;false;"The owner 0 does not have a track";Static;;;;;;
"Bargese";"lineLessOrEqualThanBoardSide";118;false;"Line concept is not present";Static;;;;;;
"Bargese";"eachPieceReferenceNotDuplicated";124;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bargese";"pieceDeclaredAsEach";159;true;;Static;;;;;;
"Bargese";"pieceDeclaredAsShared";106;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Bargese";"pieceDeclaredAsNeutral";135;true;;Static;;;;;;
"Bargese";"AllPlayerDeclared";146;true;;Static;;;;;;
"Bargese";"equalNumberOfPiecesOnTheBoard";179;true;;Static;;;;;;
"Bargese";"sizeOfTrack";124;false;"The owner 0 does not have a track";Static;;;;;;
"Barjis";"lineLessOrEqualThanBoardSide";65;false;"Line concept is not present";Static;;;;;;
"Barjis";"eachPieceReferenceNotDuplicated";54;false;"The game does not have any piece declared as Each";Static;;;;;;
"Barjis";"pieceDeclaredAsEach";101;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Barjis";"pieceDeclaredAsShared";50;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Barjis";"pieceDeclaredAsNeutral";45;true;;Static;;;;;;
"Barjis";"AllPlayerDeclared";51;true;;Static;;;;;;
"Barjis";"equalNumberOfPiecesOnTheBoard";42;true;;Static;;;;;;
"Barjis";"sizeOfTrack";46;false;"The owner 0 does not have a track";Static;;;;;;
"Buffa de Baldrac";"lineLessOrEqualThanBoardSide";25;false;"Line concept is not present";Static;;;;;;
"Buffa de Baldrac";"eachPieceReferenceNotDuplicated";24;false;"The game does not have any piece declared as Each";Static;;;;;;
"Buffa de Baldrac";"pieceDeclaredAsEach";60;true;;Static;;;;;;
"Buffa de Baldrac";"pieceDeclaredAsShared";26;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Buffa de Baldrac";"pieceDeclaredAsNeutral";20;true;;Static;;;;;;
"Buffa de Baldrac";"AllPlayerDeclared";21;true;;Static;;;;;;
"Buffa de Baldrac";"equalNumberOfPiecesOnTheBoard";27;true;;Static;;;;;;
"Buffa de Baldrac";"sizeOfTrack";26;false;"The owner 0 does not have a track";Static;;;;;;
"Cab e Quinal";"lineLessOrEqualThanBoardSide";18;false;"Line concept is not present";Static;;;;;;
"Cab e Quinal";"eachPieceReferenceNotDuplicated";18;false;"The game does not have any piece declared as Each";Static;;;;;;
"Cab e Quinal";"pieceDeclaredAsEach";56;true;;Static;;;;;;
"Cab e Quinal";"pieceDeclaredAsShared";18;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Cab e Quinal";"pieceDeclaredAsNeutral";17;true;;Static;;;;;;
"Cab e Quinal";"AllPlayerDeclared";16;true;;Static;;;;;;
"Cab e Quinal";"equalNumberOfPiecesOnTheBoard";16;true;;Static;;;;;;
"Cab e Quinal";"sizeOfTrack";15;false;"The owner 0 does not have a track";Static;;;;;;
"Chaupar";"lineLessOrEqualThanBoardSide";116;false;"Line concept is not present";Static;;;;;;
"Chaupar";"eachPieceReferenceNotDuplicated";127;false;"The game does not have any piece declared as Each";Static;;;;;;
"Chaupar";"pieceDeclaredAsEach";153;true;;Static;;;;;;
"Chaupar";"pieceDeclaredAsShared";104;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Chaupar";"pieceDeclaredAsNeutral";116;true;;Static;;;;;;
"Chaupar";"AllPlayerDeclared";105;true;;Static;;;;;;
