Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;1664;38,64%;82
"Bao Ki Arabu (Zanzibar 1)";"lineLessOrEqualThanBoardSide";1853;false;"Line concept is not present";Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"eachPieceReferenceNotDuplicated";163;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"pieceDeclaredAsEach";292;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"pieceDeclaredAsShared";95;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"pieceDeclaredAsNeutral";107;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"equalNumberOfPiecesOnTheBoard";118;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"AllPlayerDeclared";96;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 1)";"sizeOfTrack";117;false;"The owner 0 does not have a track";Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"lineLessOrEqualThanBoardSide";66;false;"Line concept is not present";Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"eachPieceReferenceNotDuplicated";59;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"pieceDeclaredAsEach";180;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"pieceDeclaredAsShared";66;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"pieceDeclaredAsNeutral";72;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"equalNumberOfPiecesOnTheBoard";53;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"AllPlayerDeclared";51;true;;Static;;;;;;
"Bao Ki Arabu (Zanzibar 2)";"sizeOfTrack";56;false;"The owner 0 does not have a track";Static;;;;;;
"Bao Kiswahili (DR Congo)";"lineLessOrEqualThanBoardSide";117;false;"Line concept is not present";Static;;;;;;
"Bao Kiswahili (DR Congo)";"eachPieceReferenceNotDuplicated";79;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Kiswahili (DR Congo)";"pieceDeclaredAsEach";138;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Kiswahili (DR Congo)";"pieceDeclaredAsShared";79;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Bao Kiswahili (DR Congo)";"pieceDeclaredAsNeutral";89;true;;Static;;;;;;
"Bao Kiswahili (DR Congo)";"equalNumberOfPiecesOnTheBoard";82;true;;Static;;;;;;
"Bao Kiswahili (DR Congo)";"AllPlayerDeclared";80;true;;Static;;;;;;
"Bao Kiswahili (DR Congo)";"sizeOfTrack";98;false;"The owner 0 does not have a track";Static;;;;;;
"Bao Kiswahili (East Africa)";"lineLessOrEqualThanBoardSide";2424;false;"Line concept is not present";Static;;;;;;
"Bao Kiswahili (East Africa)";"eachPieceReferenceNotDuplicated";2434;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Kiswahili (East Africa)";"pieceDeclaredAsEach";2276;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao Kiswahili (East Africa)";"pieceDeclaredAsShared";2152;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Bao Kiswahili (East Africa)";"pieceDeclaredAsNeutral";2135;true;;Static;;;;;;
"Bao Kiswahili (East Africa)";"equalNumberOfPiecesOnTheBoard";2164;true;;Static;;;;;;
"Bao Kiswahili (East Africa)";"AllPlayerDeclared";2248;true;;Static;;;;;;
"Bao Kiswahili (East Africa)";"sizeOfTrack";2167;false;"The owner 0 does not have a track";Static;;;;;;
"Bao";"lineLessOrEqualThanBoardSide";2243;false;"Line concept is not present";Static;;;;;;
"Bao";"eachPieceReferenceNotDuplicated";2182;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao";"pieceDeclaredAsEach";2217;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bao";"pieceDeclaredAsShared";2208;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Bao";"pieceDeclaredAsNeutral";2147;true;;Static;;;;;;
"Bao";"equalNumberOfPiecesOnTheBoard";2261;true;;Static;;;;;;
"Bao";"AllPlayerDeclared";2445;true;;Static;;;;;;
"Bao";"sizeOfTrack";2165;false;"The owner 0 does not have a track";Static;;;;;;
"Chiana wa Bwalo";"lineLessOrEqualThanBoardSide";51;false;"Line concept is not present";Static;;;;;;
"Chiana wa Bwalo";"eachPieceReferenceNotDuplicated";43;false;"The game does not have any piece declared as Each";Static;;;;;;
"Chiana wa Bwalo";"pieceDeclaredAsEach";93;false;"The game does not have any piece declared as Each";Static;;;;;;
"Chiana wa Bwalo";"pieceDeclaredAsShared";36;false;"A Shared Piece must appear at least twice in the description";Static;;;;;;
"Chiana wa Bwalo";"pieceDeclaredAsNeutral";34;true;;Static;;;;;;
"Chiana wa Bwalo";"equalNumberOfPiecesOnTheBoard";36;true;;Static;;;;;;
