Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;2232;43,10%;113
"4 Squared";"lineLessOrEqualThanBoardSide";2218;false;"Line concept is not present";Static;;;;;;
"4 Squared";"eachPieceReferenceNotDuplicated";343;false;"The game does not have any piece declared as Each";Static;;;;;;
"4 Squared";"pieceDeclaredAsEach";405;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"4 Squared";"pieceDeclaredAsShared";211;false;"The game does not have any piece declared as Shared";Static;;;;;;
"4 Squared";"pieceDeclaredAsNeutral";162;true;;Static;;;;;;
"4 Squared";"AllPlayerDeclared";163;true;;Static;;;;;;
"4 Squared";"equalNumberOfPiecesOnTheBoard";151;true;;Static;;;;;;
"4 Squared";"sizeOfTrack";168;false;"Track concept is not present";Static;;;;;;
"Amazons";"lineLessOrEqualThanBoardSide";74;false;"Line concept is not present";Static;;;;;;
"Amazons";"eachPieceReferenceNotDuplicated";56;false;"The game does not have any piece declared as Each";Static;;;;;;
"Amazons";"pieceDeclaredAsEach";119;true;;Static;;;;;;
"Amazons";"pieceDeclaredAsShared";53;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Amazons";"pieceDeclaredAsNeutral";58;true;;Static;;;;;;
"Amazons";"AllPlayerDeclared";71;true;;Static;;;;;;
"Amazons";"equalNumberOfPiecesOnTheBoard";71;true;;Static;;;;;;
"Amazons";"sizeOfTrack";64;false;"Track concept is not present";Static;;;;;;
"Bamboo";"lineLessOrEqualThanBoardSide";81;false;"Line concept is not present";Static;;;;;;
"Bamboo";"eachPieceReferenceNotDuplicated";50;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bamboo";"pieceDeclaredAsEach";118;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Bamboo";"pieceDeclaredAsShared";51;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Bamboo";"pieceDeclaredAsNeutral";48;false;"A piece declared Neutral must be called as piece0";Static;;;;;;
"Bamboo";"AllPlayerDeclared";48;true;;Static;;;;;;
"Bamboo";"equalNumberOfPiecesOnTheBoard";42;true;;Static;;;;;;
"Bamboo";"sizeOfTrack";47;false;"Track concept is not present";Static;;;;;;
"Banqi";"lineLessOrEqualThanBoardSide";143;false;"Line concept is not present";Static;;;;;;
"Banqi";"eachPieceReferenceNotDuplicated";136;false;"The game does not have any piece declared as Each";Static;;;;;;
"Banqi";"pieceDeclaredAsEach";160;true;;Static;;;;;;
"Banqi";"pieceDeclaredAsShared";91;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Banqi";"pieceDeclaredAsNeutral";111;true;;Static;;;;;;
"Banqi";"AllPlayerDeclared";95;true;;Static;;;;;;
"Banqi";"equalNumberOfPiecesOnTheBoard";104;true;;Static;;;;;;
"Banqi";"sizeOfTrack";102;false;"Track concept is not present";Static;;;;;;
"Blue Nile";"lineLessOrEqualThanBoardSide";59;false;"Line concept is not present";Static;;;;;;
"Blue Nile";"eachPieceReferenceNotDuplicated";48;false;"The game does not have any piece declared as Each";Static;;;;;;
"Blue Nile";"pieceDeclaredAsEach";95;false;"The game does not have any piece declared as Each";Static;;;;;;
"Blue Nile";"pieceDeclaredAsShared";45;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Blue Nile";"pieceDeclaredAsNeutral";43;true;;Static;;;;;;
"Blue Nile";"AllPlayerDeclared";39;true;;Static;;;;;;
"Blue Nile";"equalNumberOfPiecesOnTheBoard";42;true;;Static;;;;;;
"Blue Nile";"sizeOfTrack";42;false;"Track concept is not present";Static;;;;;;
"Claustro";"lineLessOrEqualThanBoardSide";60;false;"Line concept is not present";Static;;;;;;
"Claustro";"eachPieceReferenceNotDuplicated";50;false;"The game does not have any piece declared as Each";Static;;;;;;
"Claustro";"pieceDeclaredAsEach";102;false;"The game does not have any piece declared as Each";Static;;;;;;
"Claustro";"pieceDeclaredAsShared";54;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Claustro";"pieceDeclaredAsNeutral";56;true;;Static;;;;;;
"Claustro";"AllPlayerDeclared";52;true;;Static;;;;;;
"Claustro";"equalNumberOfPiecesOnTheBoard";55;true;;Static;;;;;;
"Claustro";"sizeOfTrack";43;false;"Track concept is not present";Static;;;;;;
"Co Chan Cho";"lineLessOrEqualThanBoardSide";21;false;"Line concept is not present";Static;;;;;;
"Co Chan Cho";"eachPieceReferenceNotDuplicated";21;false;"The game does not have any piece declared as Each";Static;;;;;;
"Co Chan Cho";"pieceDeclaredAsEach";77;true;;Static;;;;;;
"Co Chan Cho";"pieceDeclaredAsShared";19;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Co Chan Cho";"pieceDeclaredAsNeutral";20;true;;Static;;;;;;
"Co Chan Cho";"AllPlayerDeclared";19;true;;Static;;;;;;
"Co Chan Cho";"equalNumberOfPiecesOnTheBoard";24;true;;Static;;;;;;
"Co Chan Cho";"sizeOfTrack";22;false;"Track concept is not present";Static;;;;;;
"Col";"lineLessOrEqualThanBoardSide";47;false;"Line concept is not present";Static;;;;;;
"Col";"eachPieceReferenceNotDuplicated";44;false;"The game does not have any piece declared as Each";Static;;;;;;
"Col";"pieceDeclaredAsEach";98;false;"The game does not have any piece declared as Each";Static;;;;;;
"Col";"pieceDeclaredAsShared";45;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Col";"pieceDeclaredAsNeutral";50;true;;Static;;;;;;
"Col";"AllPlayerDeclared";52;true;;Static;;;;;;
"Col";"equalNumberOfPiecesOnTheBoard";58;true;;Static;;;;;;
"Col";"sizeOfTrack";42;false;"Track concept is not present";Static;;;;;;
"Cram";"lineLessOrEqualThanBoardSide";36;false;"Line concept is not present";Static;;;;;;
"Cram";"eachPieceReferenceNotDuplicated";25;false;"The game does not have any piece declared as Each";Static;;;;;;
"Cram";"pieceDeclaredAsEach";82;false;"The game does not have any piece declared as Each";Static;;;;;;
"Cram";"pieceDeclaredAsShared";25;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Cram";"pieceDeclaredAsNeutral";19;true;;Static;;;;;;
"Cram";"AllPlayerDeclared";22;true;;Static;;;;;;
"Cram";"equalNumberOfPiecesOnTheBoard";22;true;;Static;;;;;;
"Cram";"sizeOfTrack";23;false;"Track concept is not present";Static;;;;;;
"Do Guti";"lineLessOrEqualThanBoardSide";17;false;"Line concept is not present";Static;;;;;;
"Do Guti";"eachPieceReferenceNotDuplicated";12;false;"The game does not have any piece declared as Each";Static;;;;;;
"Do Guti";"pieceDeclaredAsEach";53;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Do Guti";"pieceDeclaredAsShared";10;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Do Guti";"pieceDeclaredAsNeutral";9;true;;Static;;;;;;
"Do Guti";"AllPlayerDeclared";9;true;;Static;;;;;;
"Do Guti";"equalNumberOfPiecesOnTheBoard";8;true;;Static;;;;;;
"Do Guti";"sizeOfTrack";9;false;"Track concept is not present";Static;;;;;;
"Dodo";"lineLessOrEqualThanBoardSide";22;false;"Line concept is not present";Static;;;;;;
"Dodo";"eachPieceReferenceNotDuplicated";25;false;"The game does not have any piece declared as Each";Static;;;;;;
"Dodo";"pieceDeclaredAsEach";62;true;;Static;;;;;;
"Dodo";"pieceDeclaredAsShared";27;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Dodo";"pieceDeclaredAsNeutral";22;true;;Static;;;;;;
"Dodo";"AllPlayerDeclared";24;true;;Static;;;;;;
"Dodo";"equalNumberOfPiecesOnTheBoard";31;true;;Static;;;;;;
"Dodo";"sizeOfTrack";29;false;"Track concept is not present";Static;;;;;;
"Domineering";"lineLessOrEqualThanBoardSide";19;false;"Line concept is not present";Static;;;;;;
"Domineering";"eachPieceReferenceNotDuplicated";19;false;"The game does not have any piece declared as Each";Static;;;;;;
"Domineering";"pieceDeclaredAsEach";55;false;"The game does not have any piece declared as Each";Static;;;;;;
"Domineering";"pieceDeclaredAsShared";21;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Domineering";"pieceDeclaredAsNeutral";16;true;;Static;;;;;;
"Domineering";"AllPlayerDeclared";17;true;;Static;;;;;;
"Domineering";"equalNumberOfPiecesOnTheBoard";18;true;;Static;;;;;;
"Domineering";"sizeOfTrack";18;false;"Track concept is not present";Static;;;;;;
"Dorvon Cag";"lineLessOrEqualThanBoardSide";12;false;"Line concept is not present";Static;;;;;;
"Dorvon Cag";"eachPieceReferenceNotDuplicated";11;false;"The game does not have any piece declared as Each";Static;;;;;;
"Dorvon Cag";"pieceDeclaredAsEach";72;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Dorvon Cag";"pieceDeclaredAsShared";13;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Dorvon Cag";"pieceDeclaredAsNeutral";8;true;;Static;;;;;;
"Dorvon Cag";"AllPlayerDeclared";9;true;;Static;;;;;;
"Dorvon Cag";"equalNumberOfPiecesOnTheBoard";9;true;;Static;;;;;;
"Dorvon Cag";"sizeOfTrack";9;false;"Track concept is not present";Static;;;;;;
