Game;Test Name;Duration (ms);Passed;Failure Message;Type;;;;Total Tests;Success Rate;Mean Execution Time
;;;;;;;;;2648;45,13%;168
"Alea Evangelii";"lineLessOrEqualThanBoardSide";2445;false;"Line concept is not present";Static;;;;;;
"Alea Evangelii";"eachPieceReferenceNotDuplicated";498;false;"The game does not have any piece declared as Each";Static;;;;;;
"Alea Evangelii";"pieceDeclaredAsEach";392;false;"The game does not have any piece declared as Each";Static;;;;;;
"Alea Evangelii";"pieceDeclaredAsNeutral";320;true;;Static;;;;;;
"Alea Evangelii";"pieceDeclaredAsShared";316;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Alea Evangelii";"equalNumberOfPiecesOnTheBoard";219;false;"Players do not have the same number of pieces";Static;;;;;;
"Alea Evangelii";"AllPlayerDeclared";221;true;;Static;;;;;;
"Alea Evangelii";"sizeOfTrack";202;false;"Track concept is not present";Static;;;;;;
"ArdRi";"lineLessOrEqualThanBoardSide";48;false;"Line concept is not present";Static;;;;;;
"ArdRi";"eachPieceReferenceNotDuplicated";33;false;"The game does not have any piece declared as Each";Static;;;;;;
"ArdRi";"pieceDeclaredAsEach";79;false;"The game does not have any piece declared as Each";Static;;;;;;
"ArdRi";"pieceDeclaredAsNeutral";33;true;;Static;;;;;;
"ArdRi";"pieceDeclaredAsShared";35;false;"The game does not have any piece declared as Shared";Static;;;;;;
"ArdRi";"equalNumberOfPiecesOnTheBoard";36;false;"Players do not have the same number of pieces";Static;;;;;;
"ArdRi";"AllPlayerDeclared";33;true;;Static;;;;;;
"ArdRi";"sizeOfTrack";36;false;"Track concept is not present";Static;;;;;;
"Awithlaknakwe";"lineLessOrEqualThanBoardSide";731;false;"Line concept is not present";Static;;;;;;
"Awithlaknakwe";"eachPieceReferenceNotDuplicated";658;false;"The game does not have any piece declared as Each";Static;;;;;;
"Awithlaknakwe";"pieceDeclaredAsEach";688;false;"Ludeme Each for a Piece requires at least one definition of PieceN, with N > 0";Static;;;;;;
"Awithlaknakwe";"pieceDeclaredAsNeutral";581;true;;Static;;;;;;
"Awithlaknakwe";"pieceDeclaredAsShared";508;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Awithlaknakwe";"equalNumberOfPiecesOnTheBoard";491;true;;Static;;;;;;
"Awithlaknakwe";"AllPlayerDeclared";450;true;;Static;;;;;;
"Awithlaknakwe";"sizeOfTrack";460;false;"Track concept is not present";Static;;;;;;
"Bizingo";"lineLessOrEqualThanBoardSide";142;false;"Line concept is not present";Static;;;;;;
"Bizingo";"eachPieceReferenceNotDuplicated";133;false;"The game does not have any piece declared as Each";Static;;;;;;
"Bizingo";"pieceDeclaredAsEach";160;true;;Static;;;;;;
"Bizingo";"pieceDeclaredAsNeutral";125;true;;Static;;;;;;
"Bizingo";"pieceDeclaredAsShared";115;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Bizingo";"equalNumberOfPiecesOnTheBoard";125;true;;Static;;;;;;
"Bizingo";"AllPlayerDeclared";111;true;;Static;;;;;;
"Bizingo";"sizeOfTrack";112;false;"Track concept is not present";Static;;;;;;
"Boseog Gonu";"lineLessOrEqualThanBoardSide";26;false;"Line concept is not present";Static;;;;;;
"Boseog Gonu";"eachPieceReferenceNotDuplicated";20;false;"The game does not have any piece declared as Each";Static;;;;;;
"Boseog Gonu";"pieceDeclaredAsEach";54;true;;Static;;;;;;
"Boseog Gonu";"pieceDeclaredAsNeutral";14;true;;Static;;;;;;
"Boseog Gonu";"pieceDeclaredAsShared";14;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Boseog Gonu";"equalNumberOfPiecesOnTheBoard";15;true;;Static;;;;;;
"Boseog Gonu";"AllPlayerDeclared";17;true;;Static;;;;;;
"Boseog Gonu";"sizeOfTrack";13;false;"Track concept is not present";Static;;;;;;
"Brandub";"lineLessOrEqualThanBoardSide";41;false;"Line concept is not present";Static;;;;;;
"Brandub";"eachPieceReferenceNotDuplicated";43;false;"The game does not have any piece declared as Each";Static;;;;;;
"Brandub";"pieceDeclaredAsEach";83;false;"The game does not have any piece declared as Each";Static;;;;;;
"Brandub";"pieceDeclaredAsNeutral";45;true;;Static;;;;;;
"Brandub";"pieceDeclaredAsShared";50;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Brandub";"equalNumberOfPiecesOnTheBoard";53;false;"Players do not have the same number of pieces";Static;;;;;;
"Brandub";"AllPlayerDeclared";53;true;;Static;;;;;;
"Brandub";"sizeOfTrack";42;false;"Track concept is not present";Static;;;;;;
"Breakthru";"lineLessOrEqualThanBoardSide";71;false;"Line concept is not present";Static;;;;;;
"Breakthru";"eachPieceReferenceNotDuplicated";56;false;"The game does not have any piece declared as Each";Static;;;;;;
"Breakthru";"pieceDeclaredAsEach";89;true;;Static;;;;;;
"Breakthru";"pieceDeclaredAsNeutral";57;true;;Static;;;;;;
"Breakthru";"pieceDeclaredAsShared";68;false;"The game does not have any piece declared as Shared";Static;;;;;;
"Breakthru";"equalNumberOfPiecesOnTheBoard";66;false;"Players do not have the same number of pieces";Static;;;;;;
"Breakthru";"AllPlayerDeclared";78;true;;Static;;;;;;
"Breakthru";"sizeOfTrack";61;false;"Track concept is not present";Static;;;;;;
"Castello";"lineLessOrEqualThanBoardSide";163;false;"Line concept is not present";Static;;;;;;
